option,disclosure_rule,output_groups,minimum_group_size,source_records_retained,records_at_reporting_unit_detail,records_generalized_to_district,percent_generalized_to_district,sex_group_coverage_percent,sex_record_coverage_percent,age_group_coverage_percent,age_record_coverage_percent,lab_group_coverage_percent,lab_record_coverage_percent,doses_group_coverage_percent,doses_record_coverage_percent,case_definition_group_coverage_percent,case_definition_record_coverage_percent,onset_year_group_coverage_percent,onset_year_record_coverage_percent
k2_singleton_rollup,reporting units retained at n >= 2; smaller units rolled to district,241,2,2606,2498,108,4.14,18.26,55.33,3.32,14.43,18.67,17.5,19.5,43.71,28.22,45.36,53.53,88.95
k5_small_unit_rollup,reporting units retained at n >= 5; smaller units rolled to district,135,5,2606,2226,380,14.58,40,66.96,5.19,14.24,33.33,18.04,37.04,49.5,54.07,52.88,100,100
district_only,district only,17,8,2606,0,2606,100,82.35,70.41,17.65,41.1,17.65,4.41,35.29,71.95,58.82,74.48,100,100
